time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1996-07-18T10:25:02.420Z,30.093,88.173,33,4.6,mb,,,,0.7,us,usp0007m73,2014-11-07T01:00:48.390Z,western Xizang,earthquake,,,,30,reviewed,us,us
1996-07-22T15:54:07.110Z,30.017,88.02,33,4.5,mb,,,,0.8,us,usp0007mea,2014-11-07T01:00:49.370Z,western Xizang,earthquake,,,,30,reviewed,us,us
1996-07-31T08:00:27.580Z,30.174,88.178,33,5.5,mwc,,,,1.1,us,usp0007mwx,2020-09-15T18:54:22.357Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1996-07-31T08:02:52.700Z,30.111,88.143,33,5.1,mb,,,,0.8,us,usp0007mwy,2014-11-07T01:00:51.356Z,western Xizang,earthquake,,,,70,reviewed,us,us
1996-08-25T21:46:08.620Z,30.139,87.736,33,4.5,mb,,,,1.2,us,usp0007p24,2014-11-07T01:01:01.602Z,western Xizang,earthquake,,,,3,reviewed,us,us
1996-08-29T08:38:25.150Z,30.089,88.18,33,4.7,mb,,,,0.88,us,usp0007p6m,2014-11-07T01:01:02.219Z,western Xizang,earthquake,,,,7,reviewed,us,us
1996-09-13T03:41:08.660Z,27.033,88.234,33,4.5,mb,,,,0.84,us,usp0007pwa,2014-11-07T01:01:10.167Z,"Sikkim, India",earthquake,,,,3,reviewed,us,us
1996-10-03T01:29:03.110Z,28.209,87.489,33,4.5,mb,,,,1.31,us,usp0007qvu,2014-11-07T01:01:19.046Z,western Xizang,earthquake,,,,2,reviewed,us,us
1996-11-04T20:43:55.170Z,29.244,81.775,76.7,4.6,mb,,,,1.19,us,usp0007ses,2014-11-07T01:01:32.508Z,Nepal,earthquake,,20.8,,7,reviewed,us,us
1996-11-08T00:54:13.290Z,29.345,81.637,33,5,mb,,,,1.4,us,usp0007snm,2014-11-07T01:01:33.631Z,Nepal,earthquake,,,,1,reviewed,us,us
1996-12-30T11:08:18.920Z,27.435,86.638,33,5,mb,,,,1.08,us,usp0007v6h,2014-11-07T01:01:50.882Z,Nepal,earthquake,,,,56,reviewed,us,us
1997-01-05T08:47:25.400Z,29.845,80.532,33,5.6,mwc,,,,0.9,us,usp0007vgp,2020-09-15T19:18:56.261Z,Nepal-India border region,earthquake,,,,,reviewed,us,hrv
1997-01-31T20:02:16.640Z,27.946,85.127,22.2,5.2,mb,,,,1.02,us,usp0007wkg,2014-11-07T01:02:01.299Z,Nepal,earthquake,,,,71,reviewed,us,us
1997-03-03T09:29:39.970Z,27.244,86.082,44.8,4.7,mb,,,,1.06,us,usp0007y6j,2014-11-07T01:02:16.317Z,Nepal,earthquake,,,,11,reviewed,us,us
1997-03-24T21:28:06.090Z,27.887,84.987,33,4.5,mb,,,,1.2,us,usp0007zcb,2014-11-07T01:02:22.445Z,Nepal-India border region,earthquake,,,,6,reviewed,us,us
1997-04-05T17:31:51.200Z,30.093,86.059,33,4.5,mb,,,,1.12,us,usp0008009,2014-11-07T01:02:30.491Z,western Xizang,earthquake,,,,8,reviewed,us,us
1997-05-02T20:09:28.810Z,29.434,80.426,33,4.6,mb,,,,0.61,us,usp00081n5,2014-11-07T01:02:43.130Z,Nepal-India border region,earthquake,,,,3,reviewed,us,us
1997-07-05T06:22:53.530Z,28.803,86.862,33,4.8,mb,,,,1.52,us,usp00084d1,2014-11-07T01:03:05.496Z,western Xizang,earthquake,,,,1,reviewed,us,us
1997-09-18T07:37:10.010Z,28.872,88.148,33,4.6,mb,,,,0.87,us,usp00087p5,2014-11-07T01:03:29.688Z,western Xizang,earthquake,,,,1,reviewed,us,us
1997-10-24T12:06:51.820Z,28.536,82.345,33,4.8,mb,,,,1.03,us,usp00089j1,2014-11-07T01:03:45.362Z,Nepal,earthquake,,,,23,reviewed,us,us
1997-11-03T02:29:51.820Z,29.078,85.383,33,5.5,mwc,,,,1.07,us,usp0008a01,2020-09-15T19:49:55.090Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1997-11-27T16:11:57.070Z,27.618,87.347,33,5.1,mb,,,,1.09,us,usp0008be2,2014-11-07T01:03:57.748Z,Nepal,earthquake,,,,62,reviewed,us,us
1997-12-08T02:03:55.840Z,27.475,87.175,33,5,mb,,,,0.91,us,usp0008c80,2014-11-07T01:04:05.974Z,Nepal,earthquake,,,,45,reviewed,us,us
1998-02-01T17:32:48.220Z,28.19,87.122,33,4.5,mb,,,,0.98,us,usp0008fa6,2014-11-07T01:04:27.309Z,western Xizang,earthquake,,,,1,reviewed,us,us
1998-02-12T02:40:29.130Z,26.517,88.199,33,4.6,mb,,,,1.15,us,usp0008fuu,2014-11-07T01:04:32.204Z,India-Bangladesh border region,earthquake,,,,2,reviewed,us,us
1998-02-22T02:40:38.050Z,28.453,85.435,33,4.8,mb,,,,0.88,us,usp0008gdp,2014-11-07T01:04:34.760Z,Xizang-Nepal border region,earthquake,,,,34,reviewed,us,us
1998-02-22T22:47:44.140Z,30.215,88.047,33,4.6,mb,,,,0.96,us,usp0008geq,2014-11-07T01:04:34.914Z,western Xizang,earthquake,,,,12,reviewed,us,us
1998-06-27T09:05:59.270Z,27.675,85.568,33,4.9,mb,,,,0.68,us,usp0008qjx,2014-11-07T01:05:27.370Z,Nepal,earthquake,,,,44,reviewed,us,us
1998-07-15T04:36:01.080Z,29.576,81.466,33,4.7,mb,,,,1.22,us,usp0008rhm,2014-11-07T01:05:35.923Z,Nepal,earthquake,,,,11,reviewed,us,us
1998-07-20T01:05:58.350Z,30.134,88.173,33.2,5.8,mwb,,,,1.02,us,usp0008rwg,2020-09-15T20:15:10.673Z,western Xizang,earthquake,,5.4,,,reviewed,us,us
1998-07-20T01:07:56.150Z,30.435,88.191,33,4.8,mb,,,,0.83,us,usp0008rwh,2014-11-07T01:05:37.358Z,western Xizang,earthquake,,,,3,reviewed,us,us
1998-07-20T01:18:14.510Z,30.202,88.055,33,4.7,mb,,,,1.01,us,usp0008rwj,2014-11-07T01:05:37.360Z,western Xizang,earthquake,,,,32,reviewed,us,us
1998-07-20T01:31:19.130Z,30.141,88.03,33,4.6,mb,,,,1.25,us,usp0008rwm,2014-11-07T01:05:37.368Z,western Xizang,earthquake,,,,18,reviewed,us,us
1998-07-21T14:40:44.670Z,30.375,88.192,15.7,5.1,mwc,,,,1.11,us,usp0008rz0,2016-11-09T23:02:22.933Z,western Xizang,earthquake,,,,,reviewed,us,hrv
